hypothesis,model,ratio_max@1_mean,ratio_max@1_std,ratio_max@2_mean,ratio_max@2_std,ratio_max@3_mean,ratio_max@3_std,ratio_max@4_mean,ratio_max@4_std,ratio_max@5_mean,ratio_max@5_std,ratio_max@6_mean,ratio_max@6_std,ratio_max@7_mean,ratio_max@7_std,ratio_mean@1_mean,ratio_mean@1_std,ratio_mean@2_mean,ratio_mean@2_std,ratio_mean@3_mean,ratio_mean@3_std,ratio_mean@4_mean,ratio_mean@4_std,ratio_mean@5_mean,ratio_mean@5_std,ratio_mean@6_mean,ratio_mean@6_std,ratio_mean@7_mean,ratio_mean@7_std,ratio_min@1_mean,ratio_min@1_std,ratio_min@2_mean,ratio_min@2_std,ratio_min@3_mean,ratio_min@3_std,ratio_min@4_mean,ratio_min@4_std,ratio_min@5_mean,ratio_min@5_std,ratio_min@6_mean,ratio_min@6_std,ratio_min@7_mean,ratio_min@7_std
H2,all-MiniLM-L12-v2,0.5844780264116999,0.2508719169147869,0.6285355368269993,0.2381468392071883,0.6882907631639347,0.2501218594514952,0.7469794799880458,0.2522421136593323,0.8111469209644486,0.2289746618198399,0.8405442618537251,0.216787885444123,0.8967356148269928,0.187253689191141,0.5844780264116999,0.2508719169147869,0.5886623302209767,0.1837986830698789,0.6314122879129404,0.1627262898507177,0.680759375156788,0.1563256648643121,0.7204832958143533,0.1398674771046432,0.7567431490840862,0.1394577179311018,0.7995332822149989,0.1431688558273933,0.5844780264116999,0.2508719169147869,0.555174374371289,0.1794351111276527,0.5555175987460421,0.1303471332034045,0.5964454648337579,0.1256015973422525,0.6548322510822511,0.1245540632061034,0.7156484159115737,0.1443138955906731,0.7499730992261953,0.1490744553697855
H2,all-MiniLM-L6-v2,0.6024436905851165,0.2661777355572854,0.6601709594359579,0.2280049884513573,0.7023435670749085,0.2194091752680265,0.7555381844603997,0.1987674376884432,0.8197033671038432,0.2193499628243983,0.8283990192777562,0.2139248748098508,0.8666103159089543,0.2037714401052373,0.6024436905851165,0.2661777355572854,0.5884472093536086,0.140387492183274,0.6262197234167088,0.1049421155745785,0.6719192976601355,0.0987459994849837,0.7264774445676008,0.1051838906654404,0.7540420497068847,0.1224064049880945,0.7871482912110472,0.1244301637549116,0.6024436905851165,0.2661777355572854,0.5165163094727523,0.1158532226923221,0.5598901556164536,0.10760906288408,0.6276930250221076,0.1515993289174201,0.6600604256854257,0.126571498716095,0.7185504626951996,0.1483326115978867,0.7556377817658778,0.1458715406828432
H2,all-mpnet-base-v2,0.5749316403517035,0.2272963166759985,0.6307962941548881,0.2513817759875001,0.717822262645051,0.2637139255148353,0.75249529198404,0.2513101139203585,0.773327994099881,0.2348878178389933,0.8115454884554829,0.2318690567474093,0.907969757840797,0.1834540197516163,0.5749316403517035,0.2272963166759985,0.595449990408572,0.1610044843331237,0.6531102933899949,0.1505166703565756,0.6922442677451242,0.1551806067756499,0.7174940159937265,0.1448867049667002,0.7526134381464209,0.1451263984129548,0.8088095669102813,0.1256686197923,0.5749316403517035,0.2272963166759985,0.5688501637203996,0.126005941498306,0.6162511918820852,0.1429675650478192,0.6435905178483762,0.1658724894324728,0.6770436507936507,0.141539381693326,0.7152938837478311,0.1478586797724154,0.7497350039881,0.1488867173500065
H2,gemini-embedding,0.6362397288041881,0.2317956394516574,0.7322031014789798,0.2249284499801056,0.7798898350352786,0.2088470369494432,0.7929333132961484,0.2027925932211827,0.8532002943412319,0.1845024574357916,0.8694972978664964,0.1809302122228515,0.9225338889350024,0.1352846962936509,0.6362397288041881,0.2317956394516574,0.6711742519062859,0.1487947048994188,0.6948149726778646,0.123018473891029,0.7033759006490249,0.1132138519023106,0.764558731107904,0.1091810448113104,0.7900564705547531,0.0989226379119185,0.8290076431409586,0.1046537950175078,0.6362397288041881,0.2317956394516574,0.613972170853296,0.1610935983250248,0.6074560354972451,0.1306146184798277,0.6324117346750279,0.1410733428732753,0.6811904761904761,0.1491640805367878,0.7232105504144978,0.140308307802984,0.7587157892846748,0.1455087061636879
H2,multi-qa-MiniLM-L6-cos-v1,0.5365533615178762,0.2465672881064629,0.6175026658886569,0.2581115196562123,0.7401758418391431,0.2438487971132694,0.7947268396218481,0.2128742471913315,0.8264691701997414,0.2134514028934513,0.8712621308622672,0.21023923063374,0.889004066346138,0.2050630803095741,0.5365533615178762,0.2465672881064629,0.5732569563891335,0.1862899432618558,0.6423207782792455,0.1571282251656057,0.6929336042546922,0.1395351608452242,0.7375084322587339,0.146910352061507,0.7870648832733621,0.1339606309639427,0.8026721464134123,0.1289626019249794,0.5365533615178762,0.2465672881064629,0.5337924046626406,0.1418671419540837,0.5727454709882165,0.1435949751761987,0.6143497710538536,0.155457321375506,0.6722132034632035,0.1457732770446027,0.7245921293618662,0.1546853922343313,0.7420365912896874,0.1348359092548789
H2,paraphrase-MiniLM-L12-v2,0.5647979725561952,0.2275304000671296,0.6587282379566682,0.2576722874170924,0.7359155139731989,0.2663121905096968,0.782646677589223,0.2470087180465212,0.8031845981512842,0.2416395247858944,0.8181811664422931,0.2353007318471083,0.8687456082014433,0.2059572762359184,0.5647979725561952,0.2275304000671296,0.614783525255505,0.1809182580292476,0.656876374173383,0.1588065324228069,0.7102664258126616,0.171280661511928,0.7372111452063024,0.160409793867643,0.7641672003418936,0.1590630163731137,0.8004211477021441,0.1403888448502069,0.5647979725561952,0.2275304000671296,0.5792500806312059,0.1649925872389667,0.5790993642028075,0.11620890828668,0.6541487476620407,0.1607007523706013,0.7080762987012986,0.1457418356761529,0.7362587960285328,0.1542125844234171,0.7491794484325445,0.146287006040148
H2,paraphrase-multilingual-MiniLM,0.5366008512574568,0.2198713291822116,0.6195263222386687,0.2201039659864866,0.7103692708501594,0.2283701013409254,0.7380304402654518,0.2401514788232405,0.7875928417848244,0.2099122658685915,0.8367385196846737,0.2043857276067017,0.8592072706464361,0.2107279750022911,0.5366008512574568,0.2198713291822116,0.5816987971038448,0.1647522705319959,0.6461008531752914,0.1496265630668202,0.6826993247852706,0.1434200356885729,0.7286441353781963,0.1318326409054607,0.7727146411991587,0.1259345732792561,0.8118705293678714,0.1394317543558489,0.5366008512574568,0.2198713291822116,0.5518185985681449,0.1573597720633277,0.6074376866672742,0.1694137612090811,0.6088389485430311,0.1274925102160022,0.666082251082251,0.1271638635310728,0.7182799948589421,0.1421536425568728,0.7524882719619562,0.146578093887149
H2,qwen3-embedding-8b,0.5545256841958663,0.2392033973335149,0.6760459514577377,0.2563628110461196,0.7504580943339269,0.2345025279260878,0.768639912515745,0.2261551451906564,0.7872281429491506,0.2196093072127253,0.8263627583337658,0.2174585963555714,0.8662231852631583,0.1929600782204211,0.5545256841958663,0.2392033973335149,0.6185995760107721,0.2042027658267448,0.6460071813160282,0.1722212548980385,0.67323403615211,0.1628418827203258,0.7093570307826547,0.1487791613215267,0.7496577594976606,0.1589358342038962,0.7844370584832293,0.1446942690078628,0.5545256841958663,0.2392033973335149,0.553583627833174,0.186328415271372,0.5558114610895868,0.1384838717989291,0.5982194547327478,0.1233850713952713,0.6479067460317459,0.1139270054564352,0.7066133281922755,0.1242556082727481,0.746907592321679,0.1278789095717997
H2,text-embedding-3-large,0.5405053830362603,0.2237349837457232,0.6846788829648305,0.2456546686104783,0.7579884251049572,0.2246925448187937,0.8139465523435725,0.1920657967925357,0.8822911284258049,0.1668439022166837,0.935481492703126,0.120545913694103,0.9497672069888402,0.1093638210165951,0.5405053830362603,0.2237349837457232,0.62384395669102,0.1715662670326488,0.6683229482280758,0.1530132552662954,0.7040096618187742,0.1361474991093515,0.7424432814930391,0.1304497241579494,0.7855265096790658,0.1223770041387466,0.8073411003712039,0.1218004448989639,0.5405053830362603,0.2237349837457232,0.5573794392605645,0.1509884685181517,0.5676461877724405,0.1262794614668632,0.6216573107363932,0.1451223848371309,0.6558243145743146,0.1334317683382762,0.7127938837478311,0.1479568423324125,0.7462382719619562,0.1449445526737013
H2,text-embedding-3-small,0.5604950388305114,0.2185138695001511,0.6418674788958494,0.2238783688954257,0.7473698541243723,0.2170065055132864,0.8424635373177262,0.1980074075532295,0.8700893447022822,0.1787776076112373,0.908279708979603,0.148658900868232,0.9441771448770389,0.1184945512319268,0.5604950388305114,0.2185138695001511,0.5844103670527936,0.145516080113937,0.6500759312287558,0.1236989608525301,0.7134944178461052,0.1229123637251337,0.7474344183052308,0.1192891076975651,0.7910393329226115,0.1195729435820131,0.8205373285047625,0.1166893407025389,0.5604950388305114,0.2185138695001511,0.5306440830252083,0.1465507464197359,0.5361134356576684,0.108998449699726,0.6004125681327579,0.124327787211855,0.6549603174603174,0.1296474308499793,0.7091133281922757,0.1411226916871474,0.7493428471253549,0.1453505698175448
