hypothesis,model,ratio_max@1_mean,ratio_max@1_std,ratio_max@2_mean,ratio_max@2_std,ratio_max@3_mean,ratio_max@3_std,ratio_max@4_mean,ratio_max@4_std,ratio_max@5_mean,ratio_max@5_std,ratio_max@6_mean,ratio_max@6_std,ratio_max@7_mean,ratio_max@7_std,ratio_mean@1_mean,ratio_mean@1_std,ratio_mean@2_mean,ratio_mean@2_std,ratio_mean@3_mean,ratio_mean@3_std,ratio_mean@4_mean,ratio_mean@4_std,ratio_mean@5_mean,ratio_mean@5_std,ratio_mean@6_mean,ratio_mean@6_std,ratio_mean@7_mean,ratio_mean@7_std,ratio_min@1_mean,ratio_min@1_std,ratio_min@2_mean,ratio_min@2_std,ratio_min@3_mean,ratio_min@3_std,ratio_min@4_mean,ratio_min@4_std,ratio_min@5_mean,ratio_min@5_std,ratio_min@6_mean,ratio_min@6_std,ratio_min@7_mean,ratio_min@7_std,votes_top1_ratio_mean,votes_top1_ratio_std
H2,all-MiniLM-L12-v2,0.3577290291274624,0.380783936015394,0.4278199426858682,0.3451528071089688,0.5068429784950884,0.3786574462639679,0.6013672790848088,0.3804635266126626,0.7000017270740955,0.3577894163346525,0.7533023990904425,0.3277884533059451,0.8425901483781919,0.2781062763575816,0.3577290291274624,0.380783936015394,0.3119507725560352,0.2542930652902393,0.3429516957513681,0.2418802747170839,0.3967813721396309,0.2471961895842258,0.424203735069285,0.2091148738108604,0.4782794238523428,0.2432783816197023,0.5525968097514544,0.2666279280264835,0.3577290291274624,0.380783936015394,0.1791341041998936,0.2716739494644429,0.0988538748832866,0.1737301185649418,0.065798319327731,0.1082140699704489,0.0611327561327561,0.1102840453352503,0.1329761904761905,0.2688865210689357,0.1916666666666666,0.3638448033649408,0.5844780264116999,0.2508719169147869
H2,all-MiniLM-L6-v2,0.3888064100798434,0.3930354206078343,0.4673394888338469,0.3563467296542855,0.5132692002995995,0.3630216594322943,0.597118198722613,0.3170153709229357,0.7060088376535745,0.356362602242703,0.7183393952790504,0.3422589933212463,0.7953935910832463,0.3063494993127652,0.3888064100798434,0.3930354206078343,0.3007351124807911,0.2083138893543067,0.3137551287735314,0.1737355112793933,0.3400463285221297,0.1614577153973412,0.4079773446558389,0.1681754726090113,0.4558005618460079,0.2293689382114645,0.5121070729485647,0.2505218879056529,0.3888064100798434,0.3930354206078343,0.098897604588394,0.1406674036141609,0.0964949633699633,0.1402533168305138,0.1278221288515406,0.236864402887632,0.0757954545454545,0.1230916075431894,0.1483928571428571,0.3044083443635416,0.2063095238095238,0.3570896159145612,0.6024436905851165,0.2661777355572854
H2,all-mpnet-base-v2,0.321179782217304,0.353672822734291,0.4221575083954946,0.3829522421340796,0.5583763757219133,0.4023689607677868,0.6094264069264069,0.3878900032618477,0.6401948051948052,0.3625780069864531,0.7067286343459287,0.3476621852314622,0.8561255411255413,0.2754901816040265,0.321179782217304,0.353672822734291,0.3135382852725085,0.2540977836675351,0.3692149439033312,0.2469970124634534,0.4106517554861229,0.2698998103200867,0.4047224196648875,0.2431607972144295,0.4736975910238246,0.2695650816554462,0.567398563766187,0.232708135097646,0.321179782217304,0.353672822734291,0.190909666314078,0.2069962387899152,0.2063368698295168,0.2521608040792226,0.1838095238095238,0.2792657841688152,0.1106944444444444,0.2372620298166619,0.1376984126984127,0.3059529362744679,0.1891666666666666,0.3625879606933551,0.5749316403517035,0.2272963166759985
H2,gemini-embedding,0.3919701159130538,0.3558645557161933,0.5899461388581171,0.3563336086202355,0.6559777947022729,0.3416161981405373,0.6997215821812596,0.3267301585895173,0.8109487734487736,0.2507101961813027,0.8148792391877098,0.2481454175604286,0.8738295481380189,0.2124504406843198,0.3919701159130538,0.3558645557161933,0.4167566017174386,0.2333127370724712,0.4381733464045683,0.2251111340674566,0.4183994073852684,0.1747067332266618,0.5260302732868014,0.1978730549163084,0.5487376003953631,0.2016963795569707,0.6007944379891819,0.2105986458654123,0.3919701159130538,0.3558645557161933,0.2064407812259979,0.2103813838443595,0.1862903191579662,0.2011571411706389,0.1356477591036414,0.2289154260846758,0.1201388888888888,0.2324734835745835,0.1546428571428571,0.2715251987400216,0.2192261904761904,0.3553762227091518,0.6047680456533893,0.2477733399220823
H2,minilm_h2,0.3888064100798434,0.3930354206078343,0.4673394888338469,0.3563467296542855,0.5132692002995995,0.3630216594322943,0.597118198722613,0.3170153709229357,0.7060088376535745,0.356362602242703,0.7183393952790504,0.3422589933212463,0.7953935910832463,0.3063494993127652,0.3888064100798434,0.3930354206078343,0.3007351124807911,0.2083138893543067,0.3137551287735314,0.1737355112793933,0.3400463285221297,0.1614577153973412,0.4079773446558389,0.1681754726090113,0.4558005618460079,0.2293689382114645,0.5121070729485647,0.2505218879056529,0.3888064100798434,0.3930354206078343,0.098897604588394,0.1406674036141609,0.0964949633699633,0.1402533168305138,0.1278221288515406,0.236864402887632,0.0757954545454545,0.1230916075431894,0.1483928571428571,0.3044083443635416,0.2063095238095238,0.3570896159145612,0.6024436905851165,0.2661777355572854
H2,multi-qa-MiniLM-L6-cos-v1,0.2921742045660589,0.3547817677245483,0.4092635925714518,0.3769467653383748,0.5928916940339354,0.3753052407015244,0.6622916666666666,0.342142933174525,0.7063602369852371,0.3598219337937359,0.7839612470862471,0.3437344233773985,0.8207278138528139,0.3222276458926467,0.2921742045660589,0.3547817677245483,0.2890686489346178,0.2634521756686066,0.3620113184933269,0.240999836011367,0.4116022797411176,0.2289882863762674,0.4453227469450856,0.258151720259503,0.5298539718898418,0.2707921698777408,0.5157668572037902,0.2707554980785945,0.2921742045660589,0.3547817677245483,0.1440674347582242,0.1969896862630946,0.1391814353946707,0.2039402280988132,0.1209173669467787,0.2378544889669828,0.1141287878787878,0.236821505133309,0.1592261904761904,0.3273432138193914,0.1296428571428571,0.3066596566315344,0.5365533615178762,0.2465672881064629
H2,openai_large_h2,0.2789391333619306,0.3307693087291941,0.4981125776824505,0.3806404187775964,0.6142813661308443,0.349470143423824,0.6953070175438596,0.3143606922012135,0.80675903774588,0.2762321214795707,0.8908715339300048,0.1938860968728442,0.9148109278693988,0.1713027074377689,0.2789391333619306,0.3307693087291941,0.3597602668028237,0.2714871886048509,0.4041588334571938,0.2491453647843013,0.4328028009027934,0.2316670463642946,0.4794134565312046,0.2297903541630569,0.541672566813323,0.2394547271898737,0.5617582859490832,0.2402144585232471,0.2789391333619306,0.3307693087291941,0.1763528707704404,0.2221619043267592,0.1146626984126984,0.1878490538349707,0.1316456582633053,0.2313146695009649,0.1012121212121212,0.2333393400084369,0.12875,0.3066451532308965,0.1696428571428571,0.3632698129977851,0.5405053830362603,0.2237349837457232
H2,paraphrase-MiniLM-L12-v2,0.3144619860318322,0.3257224107350684,0.463907059314954,0.3716821859460497,0.583422619047619,0.3795773134750385,0.6531448412698413,0.3608360416627616,0.6888061938061939,0.3549195940627623,0.7104595588021155,0.3556826728257448,0.7839991657468949,0.3246662337916605,0.3144619860318322,0.3257224107350684,0.3443345913280079,0.256666834636391,0.3765058301114061,0.2252006160075748,0.4312157188034865,0.2700255306146649,0.4282203059067788,0.2738364885311571,0.4794412657331443,0.2882577311920611,0.5447820008731371,0.2857727775923744,0.3144619860318322,0.3257224107350684,0.2119537647594923,0.2654554754583214,0.1356653191579662,0.1751288623757775,0.1936344537815126,0.2779122581734458,0.1856168831168831,0.2953242123838933,0.194781746031746,0.3305915523309043,0.1838095238095238,0.3624333298774257,0.5647979725561952,0.2275304000671296
H2,paraphrase-multilingual-MiniLM,0.2775207019185178,0.3057832831025118,0.4113181364148183,0.3109386390409653,0.532626879699248,0.3343765381141425,0.5767241019214703,0.3497934840119645,0.641854464979465,0.3258776675888049,0.7110089659424366,0.3118596863643498,0.7775823925158633,0.3120787503483436,0.2775207019185178,0.3057832831025118,0.2972263221698202,0.2128344021745173,0.3573866805357484,0.2191760809654991,0.3739714014869964,0.2219721698830974,0.4197003788900043,0.2070040933690537,0.4886204344722821,0.2249059467354963,0.570039770671612,0.2676995365375928,0.2775207019185178,0.3057832831025118,0.171252769847971,0.2322005328696425,0.2002498196248196,0.2716610881565346,0.0893102240896358,0.125707435218849,0.0936327561327561,0.1198664299350389,0.1392261904761905,0.2670796220151646,0.1938095238095238,0.3656484250429156,0.5366008512574568,0.2198713291822116
H2,qwen3-embedding-8b,0.3071233726180347,0.3730662445147925,0.4480144483465717,0.3847339944789475,0.6110365443061677,0.3460102401055802,0.6275693265421618,0.3393913907208353,0.6633586175033543,0.3332944891405908,0.7122043056012101,0.3481578546276533,0.7798988985899207,0.3002370311807089,0.3071233726180347,0.3730662445147925,0.3325099620092765,0.3106775087929685,0.3745023475459771,0.2542339303344913,0.3810292656030659,0.2373979871232528,0.3961572265038754,0.2080794971244771,0.4622961453421121,0.26427859457259,0.5029919699417545,0.2519826308926639,0.3071233726180347,0.3730662445147925,0.1848913219133807,0.2973666145671461,0.1049639249639249,0.1858268326330105,0.0655357142857142,0.1379868833178595,0.0345039682539682,0.0731276471619001,0.0809523809523809,0.2261204804564374,0.1379761904761904,0.3052123814723673,0.5545256841958663,0.2392033973335149
