prompt_id,story_url,likes,comments
12,https://blog.reedsy.com/short-story/qhblk9/,11,3
12,https://blog.reedsy.com/short-story/jgfcbq/,11,3
12,https://blog.reedsy.com/short-story/eti0kz/,11,4
13,https://blog.reedsy.com/short-story/lpj1g7/,60,56
13,https://blog.reedsy.com/short-story/f7xpxi/,59,30
13,https://blog.reedsy.com/short-story/khv5k3/,35,43
13,https://blog.reedsy.com/short-story/dx109p/,29,34
13,https://blog.reedsy.com/short-story/4iqnou/,29,27
13,https://blog.reedsy.com/short-story/ezxvev/,28,22
13,https://blog.reedsy.com/short-story/cywuq8/,26,26
13,https://blog.reedsy.com/short-story/fpaqqx/,26,42
13,https://blog.reedsy.com/short-story/tg0bjx/,22,12
13,https://blog.reedsy.com/short-story/kx2sd1/,18,9
13,https://blog.reedsy.com/short-story/gwkcsi/,17,3
13,https://blog.reedsy.com/short-story/qgr0ey/,17,4
13,https://blog.reedsy.com/short-story/go12xp/,16,4
13,https://blog.reedsy.com/short-story/lcws4l/,15,2
13,https://blog.reedsy.com/short-story/jkd5vx/,15,2
13,https://blog.reedsy.com/short-story/0mld83/,13,15
13,https://blog.reedsy.com/short-story/thx20j/,13,6
13,https://blog.reedsy.com/short-story/71vz1z/,13,4
13,https://blog.reedsy.com/short-story/wbjoca/,12,1
13,https://blog.reedsy.com/short-story/vv64qs/,12,3
13,https://blog.reedsy.com/short-story/rv5128/,12,4
13,https://blog.reedsy.com/short-story/ii2sjz/,12,6
13,https://blog.reedsy.com/short-story/sbkxje/,12,4
13,https://blog.reedsy.com/short-story/wtr3ae/,12,1
13,https://blog.reedsy.com/short-story/ttxxex/,12,3
13,https://blog.reedsy.com/short-story/xd8u8h/,11,3
13,https://blog.reedsy.com/short-story/qly67t/,11,8
13,https://blog.reedsy.com/short-story/3s8v9v/,11,2
13,https://blog.reedsy.com/short-story/umxgcv/,11,3
13,https://blog.reedsy.com/short-story/18doip/,11,7
13,https://blog.reedsy.com/short-story/1xtlyy/,11,0
13,https://blog.reedsy.com/short-story/rgy2a1/,11,2
14,https://blog.reedsy.com/short-story/njih3i/,48,24
14,https://blog.reedsy.com/short-story/eeflra/,37,37
14,https://blog.reedsy.com/short-story/ydoufx/,20,8
14,https://blog.reedsy.com/short-story/8mj2tm/,19,12
14,https://blog.reedsy.com/short-story/wrsyb1/,18,4
14,https://blog.reedsy.com/short-story/g13c9j/,18,9
14,https://blog.reedsy.com/short-story/c3bwlo/,16,5
14,https://blog.reedsy.com/short-story/kj7d0e/,15,4
14,https://blog.reedsy.com/short-story/ngewx6/,14,6
14,https://blog.reedsy.com/short-story/d2t79o/,14,3
14,https://blog.reedsy.com/short-story/k4vla8/,13,4
14,https://blog.reedsy.com/short-story/e6i2a8/,13,2
14,https://blog.reedsy.com/short-story/btrmcb/,13,2
14,https://blog.reedsy.com/short-story/2nxcfd/,13,2
14,https://blog.reedsy.com/short-story/j3s55p/,13,0
14,https://blog.reedsy.com/short-story/z7496i/,13,9
14,https://blog.reedsy.com/short-story/ym90hj/,13,2
14,https://blog.reedsy.com/short-story/0fi6zi/,12,2
14,https://blog.reedsy.com/short-story/nb0rwf/,12,4
15,https://blog.reedsy.com/short-story/usc1og/,133,84
15,https://blog.reedsy.com/short-story/qcbflc/,28,19
15,https://blog.reedsy.com/short-story/wl0b93/,25,12
15,https://blog.reedsy.com/short-story/baety7/,20,10
15,https://blog.reedsy.com/short-story/8ute2b/,18,7
15,https://blog.reedsy.com/short-story/g76dmr/,16,4
15,https://blog.reedsy.com/short-story/g38gih/,16,6
15,https://blog.reedsy.com/short-story/4vx5ig/,16,8
15,https://blog.reedsy.com/short-story/r0vuki/,15,6
15,https://blog.reedsy.com/short-story/r85gmc/,14,5
15,https://blog.reedsy.com/short-story/zl7a2a/,13,2
15,https://blog.reedsy.com/short-story/om2q8l/,12,0
15,https://blog.reedsy.com/short-story/6l3cjf/,12,4
15,https://blog.reedsy.com/short-story/nlnfw7/,12,2
15,https://blog.reedsy.com/short-story/deo993/,12,3
15,https://blog.reedsy.com/short-story/7acva7/,11,3
16,https://blog.reedsy.com/short-story/icr8un/,29,16
16,https://blog.reedsy.com/short-story/m0m0j9/,23,12
16,https://blog.reedsy.com/short-story/nyq3f4/,20,6
16,https://blog.reedsy.com/short-story/ndy4bf/,19,6
16,https://blog.reedsy.com/short-story/gqsbc9/,16,4
16,https://blog.reedsy.com/short-story/e7b7la/,14,8
16,https://blog.reedsy.com/short-story/kgi39x/,14,2
16,https://blog.reedsy.com/short-story/v87xwa/,13,4
16,https://blog.reedsy.com/short-story/j7htcu/,12,16
16,https://blog.reedsy.com/short-story/y7wpbf/,11,1
16,https://blog.reedsy.com/short-story/jxsc99/,11,2
16,https://blog.reedsy.com/short-story/fwe6i6/,11,5
16,https://blog.reedsy.com/short-story/1tj6n0/,11,0
16,https://blog.reedsy.com/short-story/hi1u1o/,11,2
17,https://blog.reedsy.com/short-story/v6x1gs/,94,56
17,https://blog.reedsy.com/short-story/64yovs/,47,42
17,https://blog.reedsy.com/short-story/zs2air/,20,13
17,https://blog.reedsy.com/short-story/pqvhyy/,19,12
17,https://blog.reedsy.com/short-story/4ijttw/,18,10
17,https://blog.reedsy.com/short-story/wonyax/,16,10
17,https://blog.reedsy.com/short-story/npnuzl/,15,5
17,https://blog.reedsy.com/short-story/8ll7pf/,15,4
17,https://blog.reedsy.com/short-story/1aue38/,14,6
17,https://blog.reedsy.com/short-story/p3hqxo/,14,4
17,https://blog.reedsy.com/short-story/iv292q/,14,10
17,https://blog.reedsy.com/short-story/25j43s/,12,6
17,https://blog.reedsy.com/short-story/w5ji3r/,12,7
17,https://blog.reedsy.com/short-story/0a4979/,12,1
17,https://blog.reedsy.com/short-story/yr6y2k/,11,6
18,https://blog.reedsy.com/short-story/mtq2dd/,34,31
18,https://blog.reedsy.com/short-story/wlc6jd/,23,16
18,https://blog.reedsy.com/short-story/rm70ga/,21,10
18,https://blog.reedsy.com/short-story/u8c9uc/,21,12
18,https://blog.reedsy.com/short-story/ak6ksd/,18,17
18,https://blog.reedsy.com/short-story/6l9uks/,15,2
18,https://blog.reedsy.com/short-story/qatp6l/,14,5
18,https://blog.reedsy.com/short-story/16teb1/,14,7
18,https://blog.reedsy.com/short-story/azllpr/,13,2
18,https://blog.reedsy.com/short-story/klcgv2/,12,1
18,https://blog.reedsy.com/short-story/4wnfja/,12,2
18,https://blog.reedsy.com/short-story/bjenk5/,11,4
18,https://blog.reedsy.com/short-story/94r36a/,11,4
18,https://blog.reedsy.com/short-story/5jw8h8/,11,2
18,https://blog.reedsy.com/short-story/4cdw7k/,11,5
19,https://blog.reedsy.com/short-story/ekx5xa/,33,28
19,https://blog.reedsy.com/short-story/cwdx51/,20,25
19,https://blog.reedsy.com/short-story/onw854/,20,7
19,https://blog.reedsy.com/short-story/ae269h/,19,16
19,https://blog.reedsy.com/short-story/pnrgj9/,16,19
19,https://blog.reedsy.com/short-story/qi87jv/,16,7
19,https://blog.reedsy.com/short-story/8u605v/,12,16
19,https://blog.reedsy.com/short-story/f8wa4i/,11,15
19,https://blog.reedsy.com/short-story/kdbycp/,11,9
20,https://blog.reedsy.com/short-story/i3sdmf/,36,24
20,https://blog.reedsy.com/short-story/x0yjnj/,20,17
20,https://blog.reedsy.com/short-story/0x1yi9/,18,3
20,https://blog.reedsy.com/short-story/2lxzs3/,16,8
20,https://blog.reedsy.com/short-story/hkb1rk/,14,0
20,https://blog.reedsy.com/short-story/j9c2cx/,12,7
20,https://blog.reedsy.com/short-story/meqxhk/,11,1
