prompt_id,story_url,rank_in_prompt,likes,comments
13,https://blog.reedsy.com/short-story/umxgcv/,29,11,3
13,https://blog.reedsy.com/short-story/3s8v9v/,30,11,2
13,https://blog.reedsy.com/short-story/rgy2a1/,31,11,2
13,https://blog.reedsy.com/short-story/1xtlyy/,32,11,0
14,https://blog.reedsy.com/short-story/njih3i/,1,48,24
14,https://blog.reedsy.com/short-story/eeflra/,2,37,37
14,https://blog.reedsy.com/short-story/ydoufx/,3,20,8
14,https://blog.reedsy.com/short-story/8mj2tm/,4,19,12
14,https://blog.reedsy.com/short-story/g13c9j/,5,18,9
14,https://blog.reedsy.com/short-story/wrsyb1/,6,18,4
14,https://blog.reedsy.com/short-story/c3bwlo/,7,16,5
14,https://blog.reedsy.com/short-story/kj7d0e/,8,15,4
14,https://blog.reedsy.com/short-story/ngewx6/,9,14,6
14,https://blog.reedsy.com/short-story/d2t79o/,10,14,3
14,https://blog.reedsy.com/short-story/z7496i/,11,13,9
14,https://blog.reedsy.com/short-story/k4vla8/,12,13,4
14,https://blog.reedsy.com/short-story/e6i2a8/,13,13,2
14,https://blog.reedsy.com/short-story/btrmcb/,14,13,2
14,https://blog.reedsy.com/short-story/2nxcfd/,15,13,2
14,https://blog.reedsy.com/short-story/ym90hj/,16,13,2
14,https://blog.reedsy.com/short-story/j3s55p/,17,13,0
14,https://blog.reedsy.com/short-story/nb0rwf/,18,12,4
14,https://blog.reedsy.com/short-story/0fi6zi/,19,12,2
15,https://blog.reedsy.com/short-story/usc1og/,1,133,84
15,https://blog.reedsy.com/short-story/qcbflc/,2,28,19
15,https://blog.reedsy.com/short-story/wl0b93/,3,25,12
15,https://blog.reedsy.com/short-story/baety7/,4,20,10
15,https://blog.reedsy.com/short-story/8ute2b/,5,18,7
15,https://blog.reedsy.com/short-story/4vx5ig/,6,16,8
15,https://blog.reedsy.com/short-story/g38gih/,7,16,6
15,https://blog.reedsy.com/short-story/g76dmr/,8,16,4
15,https://blog.reedsy.com/short-story/r0vuki/,9,15,6
15,https://blog.reedsy.com/short-story/r85gmc/,10,14,5
15,https://blog.reedsy.com/short-story/zl7a2a/,11,13,2
15,https://blog.reedsy.com/short-story/6l3cjf/,12,12,4
15,https://blog.reedsy.com/short-story/deo993/,13,12,3
15,https://blog.reedsy.com/short-story/nlnfw7/,14,12,2
15,https://blog.reedsy.com/short-story/om2q8l/,15,12,0
15,https://blog.reedsy.com/short-story/7acva7/,16,11,3
16,https://blog.reedsy.com/short-story/icr8un/,1,29,16
16,https://blog.reedsy.com/short-story/m0m0j9/,2,23,12
16,https://blog.reedsy.com/short-story/nyq3f4/,3,20,6
16,https://blog.reedsy.com/short-story/ndy4bf/,4,19,6
